No.,スタジアム名,住所,スタジアム略称,スタジアム名（英字）,クラブ,入場可能数
1,札幌ドーム,北海道札幌市豊平区羊ヶ丘1,札幌ド,Sapporo Dome,北海道コンサドーレ札幌,38794
2,県立カシマサッカースタジアム,茨城県鹿嶋市神向寺後山26-2,カシマ,Kashima Soccer Stadium,鹿島アントラーズ,38669
3,埼玉スタジアム２００２,埼玉県さいたま市緑区美園2-1,埼玉,Saitama Stadium 2002,浦和レッズ,62010
4,三協フロンテア柏スタジアム,千葉県柏市日立台1-2-50,三協Ｆ柏,SANKYO FRONTIER Kashiwa Stadium,柏レイソル,15109
5,味の素スタジアム,東京都調布市西町376-3,味スタ,Ajinomoto Stadium,ＦＣ東京,47851
6,等々力陸上競技場,神奈川県川崎市中原区等々力1-1,等々力,Kawasaki Todoroki Stadium,川崎フロンターレ,26827
7,日産スタジアム,神奈川県横浜市港北区小机町3300,日産ス,Nissan Stadium,横浜Ｆ・マリノス,71822
8,レモンガススタジアム平塚,神奈川県平塚市大原1-1,レモンＳ,Lemon Gas Stadium Hiratsuka,湘南ベルマーレ,15380
9,ＩＡＩスタジアム日本平,静岡県静岡市清水区村松3880-1,アイスタ,IAI Stadium Nihondaira,清水エスパルス,19496
10,ヤマハスタジアム（磐田）,静岡県磐田市新貝2500,ヤマハ,Yamaha Stadium(Iwata),ジュビロ磐田,15165
11,豊田スタジアム,愛知県豊田市千石町7-2,豊田ス,Toyota Stadium,名古屋グランパス,43739
12,サンガスタジアム ｂｙ ＫＹＯＣＥＲＡ,京都府亀岡市追分町,サンガＳ,SANGA STADIUM by KYOCERA,京都サンガF.C.,21623
13,パナソニック スタジアム 吹田,大阪府吹田市千里万博公園3-3,パナスタ,Panasonic Stadium Suita,ガンバ大阪,39694
14,ヤンマースタジアム長居,大阪府大阪市東住吉区長居公園1-1,ヤンマー,YANMAR STADIUM NAGAI,セレッソ大阪,47853
15,ヨドコウ桜スタジアム,大阪府大阪市東住吉区長居公園1-1,ヨドコウ,YODOKO SAKURA STADIUM,セレッソ大阪,24481
16,ノエビアスタジアム神戸,兵庫県神戸市兵庫区御崎町1-2-2,ノエスタ,NOEVIR Stadium Kobe,ヴィッセル神戸,28996
17,エディオンスタジアム広島,広島県広島市安佐南区大塚西5-1-1,Ｅスタ,EDION Stadium Hiroshima,サンフレッチェ広島,35909
18,ベスト電器スタジアム,福岡県福岡市博多区東平尾公園2-1-1,ベススタ,BEST DENKI STADIUM,アビスパ福岡,21562
19,駅前不動産スタジアム,佐賀県鳥栖市京町812,駅スタ,EKIMAE REAL ESTATE STADIUM,サガン鳥栖,24130
20,いわぎんスタジアム,岩手県盛岡市永井8-65,いわスタ,IWAGIN Stadium,いわてグルージャ盛岡,5046
21,ユアテックスタジアム仙台,宮城県仙台市泉区七北田字柳78,ユアスタ,Yurtec Stadium Sendai,ベガルタ仙台,19694
22,ソユースタジアム,秋田県秋田市八橋運動公園1-10,ソユスタ,SOYU STADIUM,ブラウブリッツ秋田,18560
23,ＮＤソフトスタジアム山形,山形県天童市山王1-1,ＮＤスタ,NDsoft Stadium Yamagata,モンテディオ山形,20680
24,ケーズデンキスタジアム水戸,茨城県水戸市小吹町2058-1,Ｋｓスタ,K’s denki Stadium Mito,水戸ホーリーホック,10152
25,栃木県グリーンスタジアム,栃木県宇都宮市清原工業団地32,栃木グ,Tochigi Green Stadium,栃木ＳＣ,15325
26,正田醤油スタジアム群馬,群馬県前橋市敷島町66,正田スタ,Shoda Shoyu Stadium Gunma,ザスパクサツ群馬,15190
27,ＮＡＣＫ５スタジアム大宮,埼玉県さいたま市大宮区高鼻町4,ＮＡＣＫ,NACK5 Stadium Omiya,大宮アルディージャ,15491
28,フクダ電子アリーナ,千葉県千葉市中央区川崎町1-20,フクアリ,Fukuda Denshi Arena,ジェフユナイテッド千葉,19470
29,味の素スタジアム,東京都調布市西町376-3,味スタ,Ajinomoto Stadium,東京ヴェルディ,47851
30,町田ＧＩＯＮスタジアム,東京都町田市野津田町2035,Ｇスタ,Machida GION Stadium,ＦＣ町田ゼルビア,10609
31,ニッパツ三ツ沢球技場,神奈川県横浜市神奈川区三ツ沢西町3-1,ニッパツ,NHK Spring Mitsuzawa Football Stadium,横浜ＦＣ,15440
32,ＪＩＴ リサイクルインク スタジアム,山梨県甲府市小瀬町840,ＪＩＴス,JIT Recycle Ink Stadium,ヴァンフォーレ甲府,15853
33,デンカビッグスワンスタジアム,新潟県新潟市中央区清五郎67-12,デンカＳ,DENKA BIG SWAN STADIUM,アルビレックス新潟,41684
34,石川県西部緑地公園陸上競技場,石川県金沢市袋畠町南136,石川西部,Ishikawa Athletics Stadium,ツエーゲン金沢,20261
35,シティライトスタジアム,岡山県岡山市北区いずみ町2-1,Ｃスタ,CITY LIGHT STADIUM,ファジアーノ岡山,15479
36,維新みらいふスタジアム,山口県山口市維新公園4-1-1,みらスタ,Ishin Me-Life Stadium,レノファ山口ＦＣ,15115
